"Time"	"6 sonic do"	"5 sonicinl"	"3 WP right"	"2 WPcentre"	"1 WP left"
0.00					1172.01
0.01	-303.64	-482.73	-100.57	1274.49	1172.77
0.02	-302.38	-482.77	-100.38	1274.54	1173.02
0.03	-301.88	-482.94	-100.61	1275.73	1173.01
0.04	-302.22	-485.49	-100.69	1275.05	1172.55
0.05	-303.17	-483.57	-100.83	1272.20	1172.37
0.06	-302.30	-485.14	-100.34	1275.59	1171.47
0.07	-303.05	-483.48	-100.56	1273.93	1172.89
0.08	-302.33	-483.49	-100.93	1274.03	1173.15
0.09	-301.69	-484.44	-100.53	1274.37	1172.81
0.10	-301.69	-484.07	-100.38	1274.46	1172.24
0.11	-302.10	-483.51	-100.38	1272.82	1173.94
0.12	-301.49	-483.48	-100.62	1273.17	1173.37
0.13	-302.08	-484.24	-100.55	1274.14	1172.54
0.14	-302.16	-484.03	-100.25	1275.79	1173.07
0.15	-301.66	-483.71	-100.26	1274.81	1172.68
0.16	-300.34	-483.54	-100.54	1273.67	1171.44
0.17	-301.60	-483.85	-100.42	1273.71	1173.22
0.18	-301.13	-482.75	-100.22	1273.37	1172.71
0.19	-303.11	-483.56	-100.08	1273.94	1173.20
0.20	-301.63	-482.91	-100.34	1273.68	1172.81
0.21	-301.95	-483.73	-100.54	1275.39	1172.88
0.22	-301.49	-484.58	-100.03	1274.81	1172.31
0.23	-302.44	-483.14	-100.18	1274.61	1173.20
0.24	-302.00	-483.08	-100.30	1273.53	1171.94
0.25	-301.55	-482.93	-100.42	1274.14	1173.26
0.26	-302.12	-482.56	-100.25	1273.73	1173.21
0.27	-301.31	-483.77	-99.90	1273.99	1174.14
0.28	-301.34	-483.20	-100.25	1274.00	1171.96
0.29	-301.74	-484.33	-100.36	1273.89	1173.10
0.30	-301.26	-483.77	-100.04	1275.11	1173.05
0.31	-301.59	-483.43	-100.08	1273.75	1174.18
0.32	-300.88	-482.82	-100.00	1273.28	1173.05
0.33	-301.33	-483.87	-100.23	1274.14	1173.61
0.34	-301.10	-484.34	-100.21	1274.34	1173.98
0.35	-301.53	-483.18	-99.81	1273.48	1173.59
0.36	-300.92	-483.15	-100.07	1274.25	1173.06
0.37	-300.84	-483.09	-100.16	1275.48	1172.96
0.38	-301.20	-483.16	-100.13	1275.07	1173.06
0.39	-300.91	-482.18	-100.04	1274.10	1172.32
0.40	-301.80	-482.85	-99.82	1274.21	1171.82
0.41	-300.75	-483.30	-100.19	1273.52	1172.63
0.42	-301.53	-484.51	-100.13	1274.16	1173.60
0.43	-302.26	-483.87	-99.82	1274.52	1172.98
0.44	-301.91	-482.97	-99.84	1273.23	1172.93
0.45	-301.77	-482.61	-100.00	1276.12	1172.85
0.46	-300.80	-483.07	-100.26	1275.72	1173.82
0.47	-301.30	-483.70	-99.99	1274.59	1173.26
0.48	-302.13	-483.34	-99.65	1275.44	1172.33
0.49	-302.30	-483.98	-100.03	1274.77	1172.69
0.50	-301.46	-485.14	-100.06	1273.67	1173.17
0.51	-301.63	-483.29	-99.86	1275.68	1173.09
0.52	-300.92	-482.24	-99.79	1274.38	1174.34
0.53	-300.65	-483.60	-99.70	1274.24	1172.89
0.54	-300.39	-483.24	-100.06	1275.20	1172.73
0.55	-301.33	-483.17	-100.00	1277.67	1172.80
0.56	-301.70	-480.83	-99.61	1275.71	1172.28
0.57	-301.83	-484.27	-99.77	1271.47	1172.36
0.58	-300.18	-482.17	-99.88	1275.72	1173.13
0.59	-301.17	-482.61	-99.96	1275.22	1173.23
0.60	-301.35	-482.81	-99.69	1273.68	1172.80
0.61	-300.74	-482.94	-99.65	1273.70	1173.00
0.62	-301.14	-484.44	-99.98	1276.33	1172.92
0.63	-301.09	-482.61	-99.96	1274.44	1173.13
0.64	-300.68	-482.89	-99.66	1276.03	1172.84
0.65	-301.95	-483.77	-99.70	1275.68	1173.37
0.66	-300.75	-483.16	-99.77	1275.53	1173.16
0.67	-302.75	-483.51	-100.10	1272.79	1173.77
0.68	-301.50	-482.86	-99.89	1273.52	1173.03
0.69	-301.33	-482.38	-99.64	1275.11	1172.86
0.70	-298.62	-482.33	-99.93	1275.71	1173.91
0.71	-301.40	-482.59	-100.13	1275.04	1173.79
0.72	-301.80	-483.82	-99.90	1274.92	1172.54
0.73	-301.65	-483.39	-99.79	1270.71	1172.54
0.74	-301.65	-483.30	-99.83	1275.30	1172.76
0.75	-301.16	-482.30	-100.42	1276.05	1172.46
0.76	-300.36	-481.68	-100.14	1274.87	1171.58
0.77	-301.72	-482.62	-99.82	1274.62	1172.40
0.78	-301.23	-482.65	-100.12	1275.15	1172.87
0.79	-301.66	-483.00	-100.40	1275.66	1173.09
0.80	-301.80	-482.44	-100.34	1274.81	1172.75
0.81	-302.33	-483.78	-100.23	1274.34	1172.76
0.82	-301.59	-483.72	-99.91	1274.93	1173.06
0.83	-302.13	-484.24	-100.46	1274.46	1173.19
0.84	-300.91	-482.89	-100.57	1274.43	1173.07
0.85	-301.02	-483.28	-100.24	1274.38	1172.88
0.86	-302.18	-482.87	-100.19	1274.78	1174.50
0.87	-301.00	-484.03	-100.39	1274.53	1173.18
0.88	-301.48	-484.10	-100.70	1274.50	1172.54
0.89	-300.93	-484.20	-100.52	1276.48	1172.85
0.90	-301.02	-483.09	-100.13	1275.25	1172.69
0.91	-301.03	-483.74	-100.65	1274.91	1172.95
0.92	-301.49	-484.25	-100.84	1274.89	1170.73
0.93	-301.12	-483.67	-100.58	1275.07	1172.66
0.94	-302.21	-483.73	-100.45	1273.91	1173.80
0.95	-302.11	-483.49	-100.45	1274.48	1172.70
0.96	-301.09	-483.63	-100.86	1274.69	1172.94
0.97	-301.24	-484.66	-100.75	1274.61	1169.96
0.98	-301.82	-484.26	-100.38	1274.11	1171.59
0.99	-301.56	-482.85	-100.68	1274.40	1172.80
1.00	-301.72	-482.70	-100.83	1273.33	1171.88
1.01	-301.09	-484.19	-100.81	1275.16	1172.55
1.02	-301.82	-484.22	-100.58	1274.64	1172.62
1.03	-301.78	-484.29	-100.32	1271.53	1175.38
1.04	-301.16	-483.26	-100.91	1274.54	1172.72
1.05	-301.14	-484.10	-100.91	1275.00	1172.19
1.06	-301.13	-484.31	-100.57	1274.93	1171.66
1.07	-300.79	-484.25	-100.46	1275.60	1172.34
1.08	-301.56	-484.03	-100.59	1274.76	1172.83
1.09	-301.39	-484.18	-100.98	1274.39	1172.06
1.10	-301.53	-483.41	-100.49	1274.24	1172.87
1.11	-301.92	-483.51	-100.24	1274.58	1172.40
1.12	-301.35	-483.24	-100.66	1275.29	1172.56
1.13	-301.26	-484.74	-100.73	1276.52	1172.66
1.14	-301.95	-484.04	-100.55	1275.11	1172.88
1.15	-302.12	-482.92	-100.26	1274.55	1172.63
1.16	-303.40	-484.21	-100.30	1273.53	1171.53
1.17	-301.69	-484.25	-100.75	1275.41	1172.47
1.18	-302.24	-483.89	-100.45	1274.74	1172.42
1.19	-302.59	-484.25	-100.21	1275.96	1172.67
1.20	-302.14	-483.27	-100.37	1275.23	1172.74
1.21	-302.13	-485.22	-100.47	1274.64	1173.12
1.22	-300.60	-484.19	-100.66	1274.55	1172.24
1.23	-301.73	-483.61	-100.17	1274.35	1172.70
1.24	-302.19	-483.14	-100.07	1275.21	1172.74
1.25	-301.32	-484.50	-100.66	1274.47	1172.63
1.26	-301.72	-485.31	-100.33	1275.30	1172.70
1.27	-303.59	-484.40	-100.13	1273.17	1172.41
1.28	-303.61	-483.93	-100.02	1274.51	1172.53
1.29	-302.79	-483.97	-100.14	1273.91	1172.54
1.30	-302.35	-483.53	-100.47	1275.63	1172.73
1.31	-301.54	-484.89	-100.13	1274.81	1172.66
1.32	-302.01	-484.73	-99.85	1275.66	1172.50
1.33	-301.90	-483.40	-100.41	1273.98	1172.15
1.34	-301.10	-484.23	-100.23	1274.45	1172.56
1.35	-301.21	-484.13	-100.15	1273.04	1172.13
1.36	-302.67	-483.89	-99.85	1278.27	1172.70
1.37	-302.05	-483.51	-100.00	1273.85	1173.25
1.38	-301.21	-483.94	-100.34	1275.44	1174.46
1.39	-302.32	-484.15	-100.15	1274.67	1172.50
1.40	-303.27	-482.93	-99.85	1274.63	1171.91
1.41	-302.77	-483.71	-99.89	1277.28	1172.17
1.42	-301.98	-483.62	-100.12	1274.32	1172.62
1.43	-301.55	-482.90	-100.17	1275.02	1173.80
1.44	-302.35	-482.79	-99.81	1274.86	1173.02
1.45	-301.66	-482.51	-99.77	1274.74	1172.39
1.46	-302.65	-483.51	-100.12	1276.19	1173.25
1.47	-302.42	-482.82	-100.10	1274.47	1172.44
1.48	-303.35	-481.92	-99.78	1274.82	1172.67
1.49	-303.00	-483.33	-99.75	1274.28	1170.90
1.50	-302.16	-484.21	-99.87	1276.16	1173.28
1.51	-302.17	-483.45	-100.02	1273.56	1172.94
1.52	-302.02	-483.80	-99.86	1272.65	1173.11
1.53	-302.66	-482.25	-99.61	1274.85	1172.72
1.54	-302.77	-482.47	-99.81	1274.75	1172.59
1.55	-303.06	-482.38	-100.12	1274.86	1172.65
1.56	-302.52	-482.65	-99.79	1275.36	1173.51
1.57	-301.91	-483.75	-99.53	1275.08	1172.83
1.58	-302.05	-482.91	-99.67	1274.99	1173.27
1.59	-301.19	-484.06	-100.02	1276.77	1172.75
1.60	-302.12	-482.76	-99.87	1274.73	1171.57
1.61	-301.79	-483.27	-99.58	1274.89	1172.80
1.62	-301.68	-483.36	-99.72	1276.05	1173.30
1.63	-301.96	-482.95	-99.90	1274.32	1173.36
1.64	-302.83	-484.15	-99.90	1275.28	1173.06
1.65	-302.34	-483.42	-99.61	1275.68	1172.87
1.66	-302.27	-484.08	-99.44	1275.86	1172.85
1.67	-302.26	-482.26	-99.96	1275.43	1172.89
1.68	-302.27	-481.51	-99.97	1275.41	1172.87
1.69	-302.71	-482.33	-99.63	1274.18	1172.91
1.70	-302.46	-483.53	-99.64	1272.72	1173.05
1.71	-305.01	-482.95	-99.78	1271.72	1173.11
1.72	-302.62	-481.56	-100.09	1274.81	1172.64
1.73	-303.10	-484.14	-99.78	1273.11	1172.49
1.74	-302.24	-482.25	-99.37	1273.83	1172.10
1.75	-301.91	-483.11	-100.02	1274.70	1172.90
1.76	-301.59	-483.11	-100.14	1274.07	1172.70
1.77	-301.45	-482.02	-99.98	1270.35	1172.87
1.78	-302.33	-484.61	-99.73	1274.79	1173.75
1.79	-301.58	-483.82	-99.83	1275.65	1173.11
1.80	-302.07	-483.66	-100.29	1274.85	1172.58
1.81	-300.11	-484.29	-100.10	1275.98	1172.50
1.82	-301.27	-484.00	-99.74	1273.07	1172.57
1.83	-301.57	-483.30	-100.12	1273.97	1173.10
1.84	-302.48	-483.92	-100.23	1275.68	1173.15
1.85	-301.25	-483.37	-100.29	1274.18	1172.44
1.86	-302.62	-483.87	-100.16	1273.10	1172.24
1.87	-302.44	-483.42	-100.02	1274.89	1172.86
1.88	-302.02	-483.31	-100.50	1274.17	1172.58
1.89	-301.82	-486.08	-100.55	1275.11	1172.84
1.90	-302.15	-484.41	-100.14	1274.11	1172.72
1.91	-302.83	-481.98	-100.28	1274.22	1172.92
1.92	-302.48	-483.82	-100.48	1273.22	1172.21
1.93	-302.31	-484.08	-100.85	1272.19	1172.70
1.94	-301.63	-484.15	-100.51	1271.55	1172.39
1.95	-301.91	-487.33	-100.36	1271.51	1172.88
1.96	-301.65	-484.17	-100.73	1274.42	1172.70
1.97	-302.45	-482.62	-100.81	1274.80	1172.49
1.98	-301.95	-483.26	-100.76	1274.93	1171.15
1.99	-301.36	-484.04	-100.55	1274.80	1172.42
2.00	-301.79	-483.10	-100.63	1273.98	1172.49
2.01	-302.13	-482.96	-101.05	1275.25	1173.01
2.02	-301.74	-484.06	-100.94	1274.49	1173.82
2.03	-303.10	-483.07	-100.51	1274.19	1172.66
2.04	-301.66	-483.67	-100.73	1273.90	1172.19
2.05	-301.20	-484.91	-100.96	1274.47	1172.31
2.06	-301.56	-484.16	-101.09	1273.17	1173.26
2.07	-301.76	-484.17	-100.65	1274.21	1173.49
2.08	-301.85	-483.30	-100.47	1274.20	1174.33
2.09	-301.35	-484.81	-100.93	1274.67	1173.36
2.10	-301.56	-484.08	-100.84	1274.83	1173.13
2.11	-301.18	-484.17	-100.70	1273.79	1172.44
2.12	-301.57	-484.43	-100.64	1275.11	1172.29
2.13	-301.61	-484.47	-100.73	1275.05	1173.02
2.14	-300.68	-484.44	-101.06	1274.13	1173.35
2.15	-302.03	-484.05	-100.66	1274.60	1172.93
2.16	-302.59	-483.10	-100.40	1275.19	1172.86
2.17	-300.41	-484.19	-100.69	1276.48	1172.71
2.18	-301.56	-483.24	-100.76	1274.82	1170.99
2.19	-302.23	-483.60	-100.56	1276.68	1172.77
2.20	-301.88	-482.73	-100.35	1274.46	1173.08
2.21	-301.37	-483.50	-100.39	1273.51	1172.32
2.22	-301.53	-483.55	-100.77	1274.45	1173.11
2.23	-301.36	-484.08	-100.58	1275.91	1172.61
2.24	-301.71	-483.13	-100.24	1274.45	1173.99
2.25	-301.64	-483.05	-100.19	1273.33	1172.56
2.26	-300.99	-484.00	-100.41	1274.40	1172.03
2.27	-301.15	-483.93	-100.45	1274.02	1172.59
2.28	-300.76	-483.88	-100.12	1273.32	1172.77
2.29	-300.66	-482.24	-99.98	1273.82	1172.47
2.30	-300.51	-482.62	-100.41	1274.57	1171.67
2.31	-301.47	-483.63	-100.39	1273.74	1173.21
2.32	-301.39	-483.26	-100.13	1275.30	1172.93
2.33	-302.00	-483.50	-100.17	1274.47	1172.64
2.34	-300.73	-484.29	-100.07	1273.54	1172.81
2.35	-301.07	-482.70	-100.42	1274.04	1172.99
2.36	-301.22	-483.75	-100.08	1275.05	1171.85
2.37	-301.81	-483.16	-99.83	1275.03	1172.51
2.38	-300.49	-483.26	-100.22	1275.31	1173.94
2.39	-300.75	-482.92	-100.24	1274.39	1173.01
2.40	-301.73	-482.56	-100.11	1274.19	1173.35
2.41	-301.27	-483.67	-99.86	1277.52	1172.87
2.42	-301.20	-483.83	-99.81	1274.98	1172.68
2.43	-299.91	-483.59	-100.37	1275.07	1173.36
2.44	-300.93	-482.81	-100.09	1274.09	1172.50
2.45	-301.53	-482.50	-99.79	1274.38	1173.20
2.46	-301.61	-482.98	-99.95	1273.59	1173.58
2.47	-300.90	-482.72	-99.98	1276.41	1173.34
2.48	-301.13	-484.36	-100.18	1274.36	1173.41
2.49	-301.14	-483.91	-99.88	1274.74	1173.47
2.50	-301.35	-482.75	-99.73	1275.42	1173.51
2.51	-301.69	-483.60	-100.14	1274.14	1173.01
2.52	-300.89	-482.97	-100.04	1275.20	1172.19
2.53	-300.84	-482.96	-99.99	1275.10	1173.44
2.54	-301.40	-484.40	-99.94	1275.64	1175.20
2.55	-302.03	-482.87	-99.96	1274.33	1173.09
2.56	-301.91	-483.76	-100.20	1274.29	1173.19
2.57	-301.55	-483.40	-99.92	1276.45	1173.39
2.58	-301.00	-485.02	-99.65	1274.25	1172.83
2.59	-301.28	-482.79	-100.10	1274.00	1171.98
2.60	-301.35	-483.13	-100.01	1275.61	1173.86
2.61	-301.59	-483.10	-100.25	1274.08	1173.10
2.62	-302.05	-483.30	-99.87	1273.88	1173.98
2.63	-301.85	-483.60	-99.85	1276.51	1173.42
2.64	-302.06	-483.55	-100.28	1274.57	1173.98
2.65	-301.82	-484.33	-100.00	1275.79	1171.99
2.66	-300.18	-484.05	-99.90	1275.66	1173.63
2.67	-301.18	-483.13	-100.00	1275.10	1173.92
2.68	-301.53	-483.28	-100.09	1273.84	1173.84
2.69	-301.88	-482.23	-100.37	1274.94	1173.21
2.70	-302.10	-482.31	-100.03	1275.15	1171.70
2.71	-301.95	-483.87	-100.12	1276.03	1173.39
2.72	-300.87	-482.31	-100.23	1274.87	1173.10
2.73	-301.68	-483.28	-100.20	1275.38	1173.44
2.74	-301.66	-483.53	-100.24	1274.29	1173.46
2.75	-301.69	-482.24	-100.02	1274.29	1173.03
2.76	-302.12	-484.60	-100.11	1273.47	1172.22
2.77	-302.50	-483.41	-100.46	1274.04	1173.55
2.78	-302.52	-481.84	-100.18	1274.28	1173.82
2.79	-302.74	-483.81	-100.11	1274.40	1173.46
2.80	-302.64	-483.90	-100.25	1272.76	1173.13
2.81	-301.75	-484.06	-100.48	1274.00	1173.35
2.82	-302.04	-484.29	-100.47	1273.99	1174.18
2.83	-301.74	-482.04	-100.10	1274.50	1172.13
2.84	-300.63	-484.62	-100.26	1274.47	1173.49
2.85	-302.40	-482.86	-100.50	1275.14	1173.32
2.86	-302.37	-484.00	-100.45	1275.02	1173.24
2.87	-301.72	-484.94	-100.28	1273.31	1173.06
2.88	-301.65	-484.01	-100.18	1273.72	1172.52
2.89	-301.92	-483.54	-100.49	1274.86	1172.78
2.90	-301.66	-483.71	-100.64	1275.16	1172.76
2.91	-302.28	-483.05	-100.17	1274.51	1172.64
2.92	-302.20	-482.23	-100.30	1275.68	1173.44
2.93	-302.28	-482.57	-100.70	1275.36	1173.15
2.94	-301.33	-483.05	-100.63	1273.97	1173.09
2.95	-302.10	-483.58	-100.47	1275.41	1172.33
2.96	-302.56	-484.04	-100.27	1274.16	1172.79
2.97	-302.02	-484.14	-100.55	1273.75	1172.80
2.98	-301.81	-482.90	-100.80	1274.54	1173.08
2.99	-301.55	-482.94	-100.55	1275.43	1173.11
3.00	-302.65	-483.13	-100.34	1275.43	1172.44
3.01	-303.09	-483.57	-100.48	1274.49	1172.44
3.02	-303.31	-483.02	-100.75	1275.40	1172.60
3.03	-302.26	-484.19	-100.68	1272.09	1172.56
3.04	-302.34	-483.91	-100.35	1274.55	1172.52
3.05	-302.93	-483.81	-100.53	1274.76	1173.52
3.06	-301.72	-484.47	-100.86	1274.63	1173.04
3.07	-302.38	-483.70	-100.97	1274.69	1172.72
3.08	-302.10	-483.13	-100.52	1275.18	1172.35
3.09	-302.34	-483.34	-100.53	1276.17	1172.28
3.10	-302.58	-484.37	-100.74	1273.74	1172.20
3.11	-302.50	-484.78	-100.85	1275.12	1175.13
3.12	-303.54	-484.17	-100.51	1274.28	1172.36
3.13	-302.21	-483.78	-100.52	1274.25	1172.03
3.14	-302.59	-483.66	-100.94	1275.96	1172.59
3.15	-302.81	-483.02	-100.81	1276.03	1172.61
3.16	-303.02	-483.73	-100.72	1274.36	1172.50
3.17	-303.07	-483.69	-100.70	1275.32	1171.64
3.18	-302.54	-484.12	-100.71	1275.49	1172.21
3.19	-302.45	-483.76	-100.98	1275.34	1172.29
3.20	-302.84	-483.96	-100.64	1275.16	1172.17
3.21	-302.40	-482.70	-100.60	1275.99	1171.64
3.22	-302.20	-482.02	-100.84	1274.99	1172.88
